68844,35396,-33448
35685,35831,146
35788,35579,-209
35789,35426,-363
35922,35961,39
37775,34697,-3078
35071,35398,327
35410,36263,853
35702,36359,657
35876,36182,306
35404,35989,585
36663,36225,-438
35972,36844,872
35782,35451,-331
35240,35894,654
36348,34853,-1495
35026,35472,446
35943,36320,377
35574,35835,261
35832,35022,-810
38495,37097,-1398
35507,36298,791
36434,34935,-1499
35007,35118,111
36098,35794,-304
35597,35710,113
36152,34823,-1329
36079,36232,153
35404,36540,1136
35874,35988,114
36157,35719,-438
34985,35865,880
36223,36428,205
35392,36651,1259
34312,35756,1444
36788,38682,1894
35669,22841,-12828
22419,22630,211
22759,23174,415
22904,22600,-304
23466,22418,-1048
22748,22327,-421
22728,22193,-535
23151,23187,36
22921,22303,-618
21669,23155,1486
23129,22671,-458
22316,22701,385
22933,22609,-324
22731,23136,405
22094,23152,1058
23127,22722,-405
22757,22849,92
22374,22203,-171
22693,22721,28
23341,22301,-1040
23228,22690,-538
23826,22741,-1085
22793,24650,1857
22063,22553,490
22387,22392,5
23151,22694,-457
22720,22126,-594
22689,23020,331
23134,22080,-1054
22579,22704,125
22946,22169,-777
23099,22657,-442
22291,22897,606
22421,22342,-79
23126,23550,424
22078,22449,371
22428,21830,-598
23145,21723,-1422
23143,23528,385
23480,23588,108
22524,23229,705
22363,22685,322
22725,22802,77
22743,23123,380
21919,23060,1141
22498,22354,-144
23177,25044,1867
22745,22875,130
22719,22100,-619
22713,23532,819
22705,22615,-90
22478,22436,-42
22296,22778,482
22900,23588,688
22737,23268,531
23554,22501,-1053
22717,22275,-442
23339,22605,-734
22755,23127,372
22756,22062,-694
22728,23024,296
23152,23180,28
21911,23236,1325
22724,22735,11
22481,22744,263
22344,22737,393
23473,23649,176
23147,22620,-527
23073,23142,69
23562,22858,-704
22720,25126,2406
22550,22756,206
23149,23363,214
21909,22707,798
23538,22499,-1039
23161,23070,-91
23179,22485,-694
22418,23124,706
22158,22427,269
23088,22422,-666
22783,23074,291
22534,22738,204
22501,23154,653
23517,23720,203
22427,22287,-140
22089,22256,167
22325,22519,194
21864,22067,203
22389,22299,-90
22580,22861,281
21923,22849,926
21998,23472,1474
22633,23661,1028
22735,22947,212
22468,24118,1650
23168,21670,-1498
22657,22715,58
23180,23002,-178
22476,22461,-15
21856,22718,862
23575,22988,-587
22295,22864,569
23170,22499,-671
22046,22976,930
23079,22297,-782
21816,21958,142
22957,23079,122
22315,22539,224
22733,22451,-282
23559,22637,-922
22004,22745,741
23440,23155,-285
22073,22634,561
22000,22482,482
23150,22372,-778
23507,22217,-1290
22733,22680,-53
21880,21916,36
22654,24122,1468
23572,23843,271
23139,22328,-811
22699,23148,449
22728,23215,487
23144,22721,-423
22835,22979,144
21969,22618,649
22597,22047,-550
22313,23024,711
22509,23599,1090
23055,22705,-350
23589,22313,-1276
23107,22405,-702
23317,22666,-651
